# skill_name	category_zh	summary_zh
# 每行格式：skill名稱<TAB>分類<TAB>中文功能說明
# sk audit 會讀取此檔，lang=zh 時使用中文欄位
# 新增 skill 後請同步更新此檔

# === 後端 / 資料 ===
db-migration	後端	設定資料庫 migration 工具，產生 schema 變更的 migration 檔
firebase-backend	後端	Firebase 架構設計：Firestore schema、Security Rules、Cloud Functions v2、FCM 推播
imap-smtp-integration	後端	IMAP/SMTP 郵件整合：FastAPI 收發信、Gmail 備援方案
markdown-file-ssot	後端	Markdown + YAML frontmatter 作為半結構化資料 SSOT
oauth-token-vault	後端	OAuth 2.0 flow + Fernet 加密 token 儲存（FastAPI + PostgreSQL）
sqlite-to-postgres	後端	SQLite → PostgreSQL 遷移指南：語法差異、schema 轉換、連線層更新
docker-compose-setup	後端	Docker Compose 多服務設定（Next.js + FastAPI + Postgres/Redis）：Dockerfile、dev/prod compose.yml、.env.example、healthcheck
rbac-permissions	後端	全端 RBAC 權限設計：角色階層、FastAPI decorator 保護、React AuthContext + AuthGuard
vector-search-setup	後端	FastAPI 向量搜尋知識庫建置：embedding 套件選型、資料模型、語意搜尋 API、索引管理
audio-transcription-flow	後端	音檔上傳 → speech-to-text → 逐字稿顯示 的完整 web 流程（Whisper 整合）

# === 文件 / Office ===
mcp-builder	文件	MCP Server 開發指南：FastMCP、工具設計、外部 API 整合
office-docx	文件	Word 文件處理：建立（docx-js）、編輯（redlining）、追蹤修訂、批註
office-pdf	文件	PDF 處理：擷取文字/表格、合併拆分、建立、表單填寫、OCR
office-pptx	文件	PowerPoint 處理：建立（html2pptx）、投影片設計、講者備註、縮圖
office-xlsx	文件	試算表處理：公式計算（openpyxl）、財務模型色彩規範、pandas 分析
slide-template-extractor	文件	從既有 PPTX/Google Slides 萃取設計系統，產出鎖定的 HTML slide template（CSS 變數：色彩、字型、版面）
slide-workflow	文件	簡報製作七階段 gate：目的 → 風格鎖定 → 大綱 → 內容 → 生成 → 審查 → 匯出
gdoc-report-builder	文件	經 MCP 建 Google Docs/Slides 結構化報告：批次編表、段落樣式、find-and-replace、多媒體插入
iot-factory-report	文件	廠務 IoT/SCADA 時序資料分析（UPW/RO/壓縮機/冷凍機）：cycle detection、異常標記、趨勢分析、PPTX 匯出
doc-coauthoring	文件	三階段文件共筆流程：脈絡蒐集 → 結構優化 → 讀者測試（用乾淨 Claude 驗證盲點）
document-release	文件	出貨後文件同步：README/ARCHITECTURE/CHANGELOG/CLAUDE.md，整理 TODO，可 bump VERSION
internal-comms	文件	組織內部溝通模板：3P 更新、狀態報告、leadership update、FAQ、incident report、newsletter
make-pdf	文件	Markdown → 出版品質 PDF：1in 邊界、頁碼、封面、TOC、curly quotes、DRAFT 浮水印

# === 前端 / 設計 ===
frontend-design	前端	產生高品質、有設計感的前端 UI，避免 AI 罐頭風格
ios-integration	前端	iOS 系統整合：Share Extension、Deep Link、App Groups、權限、地圖
mockup	前端	三階段 UI mockup：ASCII → 靜態 HTML → 互動 HTML，可匯出 Figma
swiftui-patterns	前端	SwiftUI 架構模式：@Observable、Navigation、iOS 17+ 最佳實踐
ui-ux-pro-max	前端	UI/UX 設計資料庫：50+ 風格、97 色盤、57 字型配對、25 圖表類型
webapp-testing	前端	Playwright 瀏覽器測試：截圖、console log、前端功能驗證
